"ID","host_since","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_total_listings_count","host_verifications","host_has_profile_pic","host_identity_verified","street","neighbourhood_cleansed","neighbourhood_group_cleansed","city","state","zipcode","market","smart_location","latitude","longitude","is_location_exact","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","amenities","square_feet","security_deposit","cleaning_fee","minimum_nights","calendar_updated","availability_30","availability_60","availability_90","availability_365","number_of_reviews","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","cancellation_policy","require_guest_profile_picture","require_guest_phone_verification","reviews_per_month"
30001,"2015-05-03","within a few hours","90%","71%","f",1,"['email', 'phone', 'linkedin', 'reviews', 'kba']","t","t","West 107th Street, New York, NY 10025, United States","Upper West Side","Manhattan","New York","NY",10025,"New York","New York, NY",40.7994700675,-73.9613619733,"t","Apartment","Private room",1,1,1,1,"Real Bed","{TV,Internet,""Wireless Internet"",Kitchen,Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Hangers,""Laptop Friendly Workspace""}",,"$500.00","$25.00",1,"4 weeks ago",0,0,0,0,1,80,10,6,4,6,10,8,"f","moderate","f","f",1
30002,"2016-04-08","within an hour","100%","95%","f",2,"['email', 'phone', 'google', 'reviews', 'jumio']","t","t","West 119th Street, New York, NY 10026, United States","Harlem","Manhattan","New York","NY",10026,"New York","New York, NY",40.8071271174,-73.9541957511,"t","Apartment","Private room",2,1,1,1,"Real Bed","{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,""Hair Dryer"",Iron}",,,,2,"yesterday",13,43,73,163,5,80,9,8,8,7,10,8,"f","moderate","f","f",2.94
30003,"2013-03-27","within a day","60%","50%","f",4,"['email', 'phone', 'reviews', 'manual_offline', 'jumio']","t","t","East 150th Street, Bronx, NY 10451, United States","Concourse","Bronx","Bronx","NY",10451,"New York","Bronx, NY",40.8192853099,-73.9285132999,"t","Bed & Breakfast","Private room",2,1,1,1,"Real Bed","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher""}",,,,1,"7 months ago",30,60,90,365,1,,,,,,,,"f","flexible","f","f",0.12
30004,"2012-07-11","within an hour","90%","100%","f",1,"['email', 'phone', 'reviews', 'kba']","t","t","West 98th Street, New York, NY 10025, United States","Upper West Side","Manhattan","New York","NY",10025,"New York","New York, NY",40.7944713459,-73.97001317,"t","Apartment","Entire home/apt",4,1,1,1,"Real Bed","{TV,Internet,""Wireless Internet"",""Air Conditioning"",""Wheelchair Accessible"",Kitchen,Doorman,""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",,"$500.00","$60.00",2,"6 days ago",4,4,4,4,6,100,10,9,10,10,10,10,"f","strict","f","f",0.55
30005,"2015-02-26","within a few hours","100%","93%","f",1,"['email', 'phone', 'google', 'reviews', 'jumio']","t","t","West 35th Street, New York, NY 10001, United States","Midtown","Manhattan","New York","NY",10001,"New York","New York, NY",40.7518862977,-73.9910935059,"t","Hut","Private room",2,1,1,1,"Pull-out Sofa","{""Wireless Internet"",""Air Conditioning"",""Elevator in Building"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Shampoo,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",,,,1,"2 weeks ago",3,6,22,22,149,93,9,9,10,10,10,10,"f","strict","f","f",9.7
30006,"2013-10-31","within an hour","100%","100%","f",2,"['email', 'phone', 'facebook', 'reviews', 'kba']","t","t","West 136th Street, New York, NY 10030, United States","Harlem","Manhattan","New York","NY",10030,"New York","New York, NY",40.8158591255,-73.9411650651,"t","Apartment","Entire home/apt",4,1,0,2,"Real Bed","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,"$150.00","$65.00",5,"a week ago",5,20,34,157,9,95,10,10,10,10,9,10,"t","strict","f","f",0.5
30007,"2015-07-28","within a day","67%","100%","f",1,"['email', 'phone', 'facebook', 'google', 'reviews', 'kba']","t","t","President Street, Brooklyn, NY 11231, United States","Carroll Gardens","Brooklyn","Brooklyn","NY",11231,"New York","Brooklyn, NY",40.6825788728,-73.9994835919,"t","Apartment","Entire home/apt",6,2,3,4,"Real Bed","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,""24-Hour Check-in"",""Hair Dryer"",Iron}",,"$850.00","$200.00",3,"2 weeks ago",0,3,3,16,2,90,10,9,10,10,10,10,"f","strict","f","f",0.29
30008,"2014-11-05","N/A","N/A","N/A","f",1,"['email', 'phone', 'facebook', 'reviews', 'jumio']","t","t","Sullivan Street, New York, NY 10012, United States","Greenwich Village","Manhattan","New York","NY",10012,"New York","New York, NY",40.7308806697,-74.0003543927,"t","Apartment","Entire home/apt",2,1,0,1,"Real Bed","{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo}",,,,1,"11 months ago",0,0,0,0,1,60,6,4,8,6,10,6,"t","flexible","f","f",0.09
30009,"2012-02-25","within a few hours","100%","100%","f",2,"['email', 'phone', 'facebook', 'google', 'reviews', 'kba']","t","t","South 5th Street, Brooklyn, NY 11211, United States","Williamsburg","Brooklyn","Brooklyn","NY",11211,"New York","Brooklyn, NY",40.7072300324,-73.9551524753,"t","Apartment","Entire home/apt",4,1,2,1,"Real Bed","{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,""Carbon Monoxide Detector"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,,"$20.00",1,"2 months ago",0,0,0,0,1,100,10,10,10,10,10,10,"f","flexible","f","f",0.2
30010,"2014-12-08","within an hour","100%","90%","f",2,"['email', 'phone', 'reviews', 'kba']","t","t","2nd Avenue, New York, NY 10128, United States","Upper East Side","Manhattan","New York","NY",10128,"New York","New York, NY",40.7835083149,-73.9481898879,"t","Apartment","Entire home/apt",4,1,2,2,"Real Bed","{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials}",,,,3,"3 months ago",0,0,0,0,0,,,,,,,,"f","flexible","f","f",
